T2M,RH2M,WS2M,Date
34.08,25.56,1.12,2024-10-21 13:00:00
34.13,25.0,1.14,2024-10-21 14:00:00
33.63,25.19,1.05,2024-10-21 15:00:00
32.57,26.56,0.82,2024-10-21 16:00:00
30.43,31.06,0.48,2024-10-21 17:00:00
29.58,31.88,0.43,2024-10-21 18:00:00
29.08,32.88,0.24,2024-10-21 19:00:00
28.44,33.81,0.24,2024-10-21 20:00:00
27.57,35.25,0.4,2024-10-21 21:00:00
26.88,36.5,0.48,2024-10-21 22:00:00
26.17,37.94,0.51,2024-10-21 23:00:00
24.93,40.75,0.61,2024-10-22 00:00:00
23.98,43.25,0.87,2024-10-22 01:00:00
22.85,46.5,1.06,2024-10-22 02:00:00
21.82,50.0,1.15,2024-10-22 03:00:00
21.11,52.62,1.19,2024-10-22 04:00:00
20.63,54.69,1.24,2024-10-22 05:00:00
20.31,56.81,1.27,2024-10-22 06:00:00
22.4,51.06,1.67,2024-10-22 07:00:00
25.19,43.75,2.55,2024-10-22 08:00:00
28.94,34.0,1.85,2024-10-22 09:00:00
32.05,26.19,1.87,2024-10-22 10:00:00
32.84,24.19,1.88,2024-10-22 11:00:00
33.45,23.06,1.85,2024-10-22 12:00:00
33.68,22.62,1.77,2024-10-22 13:00:00
33.8,22.44,1.65,2024-10-22 14:00:00
33.23,23.31,1.49,2024-10-22 15:00:00
32.06,25.25,1.12,2024-10-22 16:00:00
29.63,30.19,0.73,2024-10-22 17:00:00
28.58,31.31,0.78,2024-10-22 18:00:00
27.8,32.5,0.7,2024-10-22 19:00:00
27.27,33.25,0.65,2024-10-22 20:00:00
26.93,33.81,0.58,2024-10-22 21:00:00
26.01,35.69,0.59,2024-10-22 22:00:00
24.78,38.69,0.87,2024-10-22 23:00:00
23.23,43.38,1.09,2024-10-23 00:00:00
21.96,48.31,1.14,2024-10-23 01:00:00
21.31,52.12,1.22,2024-10-23 02:00:00
20.93,54.94,1.27,2024-10-23 03:00:00
20.62,57.12,1.31,2024-10-23 04:00:00
20.37,58.5,1.31,2024-10-23 05:00:00
20.22,59.12,1.27,2024-10-23 06:00:00
22.23,52.31,1.59,2024-10-23 07:00:00
24.8,44.88,2.49,2024-10-23 08:00:00
28.37,36.06,1.31,2024-10-23 09:00:00
30.97,30.12,0.13,2024-10-23 10:00:00
32.07,27.06,0.78,2024-10-23 11:00:00
32.76,25.31,1.28,2024-10-23 12:00:00
32.97,24.56,1.63,2024-10-23 13:00:00
32.78,24.38,1.67,2024-10-23 14:00:00
32.12,25.0,1.34,2024-10-23 15:00:00
30.98,26.81,0.84,2024-10-23 16:00:00
28.56,31.81,0.66,2024-10-23 17:00:00
26.73,35.0,0.89,2024-10-23 18:00:00
25.33,38.5,1.03,2024-10-23 19:00:00
24.27,42.12,1.16,2024-10-23 20:00:00
23.51,45.44,1.27,2024-10-23 21:00:00
22.91,48.31,1.36,2024-10-23 22:00:00
22.36,50.69,1.4,2024-10-23 23:00:00
21.84,52.62,1.4,2024-10-24 00:00:00
21.36,54.25,1.44,2024-10-24 01:00:00
20.98,55.56,1.49,2024-10-24 02:00:00
20.51,57.31,1.53,2024-10-24 03:00:00
20.08,59.19,1.57,2024-10-24 04:00:00
19.65,61.38,1.57,2024-10-24 05:00:00
19.29,63.62,1.54,2024-10-24 06:00:00
20.65,59.06,2.5,2024-10-24 07:00:00
22.85,51.69,2.52,2024-10-24 08:00:00
27.01,38.88,2.14,2024-10-24 09:00:00
29.81,32.62,2.28,2024-10-24 10:00:00
31.64,28.69,2.44,2024-10-24 11:00:00
32.74,25.75,2.39,2024-10-24 12:00:00
33.33,23.75,2.37,2024-10-24 13:00:00
33.37,22.62,2.19,2024-10-24 14:00:00
33.0,22.19,1.86,2024-10-24 15:00:00
32.06,23.0,1.47,2024-10-24 16:00:00
29.26,28.12,0.71,2024-10-24 17:00:00
28.05,29.81,0.81,2024-10-24 18:00:00
27.48,30.81,0.69,2024-10-24 19:00:00
26.73,31.94,0.61,2024-10-24 20:00:00
25.42,34.31,0.99,2024-10-24 21:00:00
23.44,38.75,1.21,2024-10-24 22:00:00
22.19,42.06,1.3,2024-10-24 23:00:00
21.57,44.19,1.47,2024-10-25 00:00:00
21.08,46.0,1.65,2024-10-25 01:00:00
20.59,47.81,1.69,2024-10-25 02:00:00
20.13,49.19,1.65,2024-10-25 03:00:00
19.73,50.25,1.56,2024-10-25 04:00:00
19.37,51.25,1.42,2024-10-25 05:00:00
19.08,52.12,1.34,2024-10-25 06:00:00
21.4,44.88,2.03,2024-10-25 07:00:00
24.53,36.62,2.62,2024-10-25 08:00:00
29.52,26.62,1.61,2024-10-25 09:00:00
32.87,21.5,1.17,2024-10-25 10:00:00
34.29,19.44,1.3,2024-10-25 11:00:00
35.12,18.06,1.39,2024-10-25 12:00:00
35.6,17.0,1.42,2024-10-25 13:00:00
35.54,16.5,1.29,2024-10-25 14:00:00
34.91,16.69,1.12,2024-10-25 15:00:00
33.62,18.44,0.75,2024-10-25 16:00:00
30.94,22.75,0.47,2024-10-25 17:00:00
29.77,23.5,0.38,2024-10-25 18:00:00
29.07,24.31,0.32,2024-10-25 19:00:00
27.97,25.44,0.46,2024-10-25 20:00:00
27.16,26.44,0.78,2024-10-25 21:00:00
25.78,28.12,1.06,2024-10-25 22:00:00
24.57,29.81,1.2,2024-10-25 23:00:00
23.83,30.75,1.22,2024-10-26 00:00:00
23.4,31.19,1.2,2024-10-26 01:00:00
23.03,31.75,1.17,2024-10-26 02:00:00
22.5,32.88,1.15,2024-10-26 03:00:00
21.84,34.5,1.13,2024-10-26 04:00:00
21.25,36.25,1.1,2024-10-26 05:00:00
20.75,38.0,1.05,2024-10-26 06:00:00
22.06,36.0,1.06,2024-10-26 07:00:00
24.67,31.5,1.93,2024-10-26 08:00:00
28.69,27.44,2.23,2024-10-26 09:00:00
35.15,19.5,2.7,2024-10-26 12:00:00
35.85,18.06,2.31,2024-10-26 13:00:00
35.93,17.31,1.74,2024-10-26 14:00:00
35.35,17.38,1.1,2024-10-26 15:00:00
34.08,19.31,0.4,2024-10-26 16:00:00
31.65,22.88,0.42,2024-10-26 17:00:00
29.75,24.5,0.76,2024-10-26 18:00:00
28.63,25.88,0.96,2024-10-26 19:00:00
28.03,26.62,0.93,2024-10-26 20:00:00
27.69,27.06,0.71,2024-10-26 21:00:00
27.78,26.62,0.46,2024-10-26 22:00:00
27.26,27.0,0.43,2024-10-26 23:00:00
26.08,28.75,0.64,2024-10-27 00:00:00
25.22,30.06,0.9,2024-10-27 01:00:00
23.91,32.12,1.09,2024-10-27 02:00:00
22.54,34.5,1.19,2024-10-27 03:00:00
21.52,36.06,1.19,2024-10-27 04:00:00
20.8,37.25,1.21,2024-10-27 05:00:00
20.15,38.94,1.27,2024-10-27 06:00:00
21.87,35.75,2.0,2024-10-27 07:00:00
24.56,31.25,2.81,2024-10-27 08:00:00
28.72,25.31,2.13,2024-10-27 09:00:00
32.87,21.19,1.36,2024-10-27 10:00:00
34.52,19.25,1.21,2024-10-27 11:00:00
35.74,18.0,1.18,2024-10-27 12:00:00
36.47,17.19,1.24,2024-10-27 13:00:00
36.44,17.19,1.41,2024-10-27 14:00:00
35.81,18.12,1.66,2024-10-27 15:00:00
34.16,21.06,1.26,2024-10-27 16:00:00
30.55,26.88,1.05,2024-10-27 17:00:00
29.04,29.56,1.16,2024-10-27 18:00:00
28.37,31.56,1.13,2024-10-27 19:00:00
27.79,33.56,1.08,2024-10-27 20:00:00
27.29,35.25,1.03,2024-10-27 21:00:00
26.62,37.19,1.02,2024-10-27 22:00:00
26.12,38.44,1.0,2024-10-27 23:00:00
25.74,39.81,0.91,2024-10-28 00:00:00
25.3,41.19,0.76,2024-10-28 01:00:00
25.03,41.88,0.54,2024-10-28 02:00:00
24.43,43.31,0.59,2024-10-28 03:00:00
23.32,46.25,0.88,2024-10-28 04:00:00
22.2,49.25,1.04,2024-10-28 05:00:00
21.31,51.56,1.07,2024-10-28 06:00:00
22.4,47.88,1.03,2024-10-28 07:00:00
25.02,40.44,2.02,2024-10-28 08:00:00
28.7,33.88,2.57,2024-10-28 09:00:00
33.72,26.0,2.82,2024-10-28 14:00:00
33.33,26.12,2.45,2024-10-28 15:00:00
32.08,28.0,1.52,2024-10-28 16:00:00
29.05,33.38,0.98,2024-10-28 17:00:00
27.38,36.44,1.14,2024-10-28 18:00:00
26.33,38.5,1.29,2024-10-28 19:00:00
25.63,39.44,1.49,2024-10-28 20:00:00
24.97,40.38,1.62,2024-10-28 21:00:00
24.24,41.81,1.62,2024-10-28 22:00:00
23.58,43.31,1.59,2024-10-28 23:00:00
22.97,44.75,1.6,2024-10-29 00:00:00
22.4,46.31,1.6,2024-10-29 01:00:00
21.85,48.06,1.53,2024-10-29 02:00:00
21.31,50.19,1.39,2024-10-29 03:00:00
20.87,52.19,1.25,2024-10-29 04:00:00
20.71,53.62,1.12,2024-10-29 05:00:00
20.41,55.75,1.05,2024-10-29 06:00:00
21.73,52.25,1.22,2024-10-29 07:00:00
24.31,45.31,1.98,2024-10-29 08:00:00
28.6,33.94,1.76,2024-10-29 09:00:00
31.77,27.06,2.09,2024-10-29 10:00:00
33.24,24.0,2.45,2024-10-29 11:00:00
33.97,22.62,2.6,2024-10-29 12:00:00
34.29,22.0,2.65,2024-10-29 13:00:00
34.03,22.12,2.51,2024-10-29 14:00:00
33.44,22.44,2.17,2024-10-29 15:00:00
32.03,24.5,1.15,2024-10-29 16:00:00
30.01,27.56,0.7,2024-10-29 17:00:00
29.61,27.88,0.42,2024-10-29 18:00:00
28.82,29.38,0.56,2024-10-29 19:00:00
27.41,32.0,0.93,2024-10-29 20:00:00
25.88,35.19,1.16,2024-10-29 21:00:00
24.71,37.69,1.24,2024-10-29 22:00:00
23.87,39.81,1.24,2024-10-29 23:00:00
23.26,41.62,1.21,2024-10-30 00:00:00
22.9,42.75,1.16,2024-10-30 01:00:00
22.38,44.25,1.15,2024-10-30 02:00:00
21.76,45.81,1.14,2024-10-30 03:00:00
21.17,46.94,1.13,2024-10-30 04:00:00
20.58,47.94,1.15,2024-10-30 05:00:00
20.42,47.56,1.3,2024-10-30 06:00:00
21.28,44.56,2.51,2024-10-30 07:00:00
28.21,30.88,2.45,2024-10-30 10:00:00
30.18,28.25,1.63,2024-10-30 11:00:00
31.3,26.81,1.25,2024-10-30 12:00:00
31.85,26.19,1.08,2024-10-30 13:00:00
31.72,26.31,0.88,2024-10-30 14:00:00
31.29,26.56,0.75,2024-10-30 15:00:00
30.17,28.56,0.54,2024-10-30 16:00:00
28.08,32.06,0.66,2024-10-30 17:00:00
26.76,34.62,0.83,2024-10-30 18:00:00
25.74,36.81,0.94,2024-10-30 19:00:00
24.8,38.5,1.04,2024-10-30 20:00:00
23.94,40.5,1.1,2024-10-30 21:00:00
23.12,42.62,1.15,2024-10-30 22:00:00
22.11,45.38,1.2,2024-10-30 23:00:00
21.03,48.56,1.23,2024-10-31 00:00:00
20.24,51.06,1.28,2024-10-31 01:00:00
19.71,52.62,1.31,2024-10-31 02:00:00
19.31,53.69,1.31,2024-10-31 03:00:00
18.93,54.69,1.3,2024-10-31 04:00:00
18.58,55.75,1.3,2024-10-31 05:00:00
18.27,56.81,1.3,2024-10-31 06:00:00
19.84,51.44,1.39,2024-10-31 07:00:00
22.94,42.56,2.59,2024-10-31 08:00:00
26.35,34.56,2.1,2024-10-31 09:00:00
30.42,24.56,1.86,2024-10-31 10:00:00
32.2,19.94,2.09,2024-10-31 11:00:00
33.25,17.19,2.26,2024-10-31 12:00:00
33.73,15.56,2.29,2024-10-31 13:00:00
33.58,14.88,2.17,2024-10-31 14:00:00
33.0,14.69,1.94,2024-10-31 15:00:00
31.44,16.12,1.24,2024-10-31 16:00:00
28.12,20.12,0.92,2024-10-31 17:00:00
26.82,20.88,1.0,2024-10-31 18:00:00
25.97,21.81,1.01,2024-10-31 19:00:00
24.93,22.81,1.12,2024-10-31 20:00:00
23.58,24.06,1.29,2024-10-31 21:00:00
21.98,26.44,1.41,2024-10-31 22:00:00
20.56,29.0,1.45,2024-10-31 23:00:00
19.7,30.94,1.45,2024-11-01 00:00:00
19.12,32.31,1.44,2024-11-01 01:00:00
18.65,33.56,1.43,2024-11-01 02:00:00
18.24,34.5,1.4,2024-11-01 03:00:00
17.88,35.38,1.38,2024-11-01 04:00:00
17.49,36.38,1.34,2024-11-01 05:00:00
17.01,37.81,1.31,2024-11-01 06:00:00
18.5,35.06,1.54,2024-11-01 07:00:00
21.8,29.0,2.54,2024-11-01 08:00:00
25.57,23.06,1.8,2024-11-01 09:00:00
30.4,16.38,1.78,2024-11-01 10:00:00
32.71,13.62,2.02,2024-11-01 11:00:00
33.94,12.06,1.97,2024-11-01 12:00:00
34.58,11.12,1.72,2024-11-01 13:00:00
34.59,10.69,1.5,2024-11-01 14:00:00
33.8,10.94,1.27,2024-11-01 15:00:00
31.8,13.88,0.79,2024-11-01 16:00:00
28.37,17.06,0.99,2024-11-01 17:00:00
26.69,18.56,1.1,2024-11-01 18:00:00
25.78,19.69,1.08,2024-11-01 19:00:00
25.0,20.56,1.08,2024-11-01 20:00:00
24.15,21.12,1.12,2024-11-01 21:00:00
23.19,22.38,1.17,2024-11-01 22:00:00
22.3,23.69,1.17,2024-11-01 23:00:00
21.66,24.81,1.13,2024-11-02 00:00:00
21.01,25.94,1.14,2024-11-02 01:00:00
20.29,27.12,1.2,2024-11-02 02:00:00
19.57,28.25,1.27,2024-11-02 03:00:00
18.96,28.94,1.32,2024-11-02 04:00:00
18.64,29.25,1.31,2024-11-02 05:00:00
18.48,29.25,1.25,2024-11-02 06:00:00
19.39,27.75,1.02,2024-11-02 07:00:00
22.6,22.81,1.28,2024-11-02 08:00:00
25.78,19.0,0.74,2024-11-02 09:00:00
30.3,15.44,1.48,2024-11-02 10:00:00
32.35,13.38,1.83,2024-11-02 11:00:00
33.44,12.25,1.63,2024-11-02 12:00:00
34.07,11.56,1.41,2024-11-02 13:00:00
34.02,11.38,1.16,2024-11-02 14:00:00
33.3,11.69,0.89,2024-11-02 15:00:00
31.29,15.31,0.57,2024-11-02 16:00:00
28.45,17.5,0.91,2024-11-02 17:00:00
26.69,19.0,1.08,2024-11-02 18:00:00
25.59,20.25,1.11,2024-11-02 19:00:00
24.94,21.0,1.05,2024-11-02 20:00:00
24.37,21.56,0.89,2024-11-02 21:00:00
24.08,22.19,0.7,2024-11-02 22:00:00
23.58,23.25,0.62,2024-11-02 23:00:00
22.56,25.06,0.72,2024-11-03 00:00:00
21.33,27.12,0.9,2024-11-03 01:00:00
20.23,28.75,1.15,2024-11-03 02:00:00
19.11,30.19,1.3,2024-11-03 03:00:00
18.26,31.0,1.36,2024-11-03 04:00:00
17.58,31.69,1.38,2024-11-03 05:00:00
17.16,32.12,1.37,2024-11-03 06:00:00
18.3,29.88,1.22,2024-11-03 07:00:00
22.37,23.12,2.36,2024-11-03 08:00:00
25.66,19.25,1.82,2024-11-03 09:00:00
29.93,15.81,0.42,2024-11-03 10:00:00
31.88,13.81,0.5,2024-11-03 11:00:00
32.99,12.81,0.68,2024-11-03 12:00:00
33.55,12.5,0.88,2024-11-03 13:00:00
33.51,12.69,1.01,2024-11-03 14:00:00
32.85,13.44,1.05,2024-11-03 15:00:00
30.76,17.38,0.65,2024-11-03 16:00:00
28.1,19.5,0.93,2024-11-03 17:00:00
26.86,20.88,0.95,2024-11-03 18:00:00
26.12,22.06,0.89,2024-11-03 19:00:00
25.19,23.5,0.94,2024-11-03 20:00:00
23.91,25.38,1.1,2024-11-03 21:00:00
22.56,27.69,1.24,2024-11-03 22:00:00
21.34,30.5,1.29,2024-11-03 23:00:00
20.57,32.62,1.28,2024-11-04 00:00:00
20.12,33.88,1.26,2024-11-04 01:00:00
19.48,35.25,1.27,2024-11-04 02:00:00
18.73,36.56,1.28,2024-11-04 03:00:00
18.12,37.38,1.28,2024-11-04 04:00:00
17.64,37.75,1.28,2024-11-04 05:00:00
17.19,38.5,1.28,2024-11-04 06:00:00
18.38,35.88,1.32,2024-11-04 07:00:00
21.53,29.94,2.79,2024-11-04 08:00:00
24.65,25.5,2.34,2024-11-04 09:00:00
28.94,20.81,2.15,2024-11-04 10:00:00
31.05,18.25,2.05,2024-11-04 11:00:00
32.46,16.62,1.77,2024-11-04 12:00:00
33.32,15.62,1.34,2024-11-04 13:00:00
33.27,15.56,0.86,2024-11-04 14:00:00
32.69,16.25,0.3,2024-11-04 15:00:00
30.98,20.56,0.27,2024-11-04 16:00:00
28.06,22.81,0.85,2024-11-04 17:00:00
25.98,25.44,1.17,2024-11-04 18:00:00
24.42,28.25,1.26,2024-11-04 19:00:00
23.13,31.12,1.28,2024-11-04 20:00:00
22.19,33.19,1.29,2024-11-04 21:00:00
21.57,34.94,1.26,2024-11-04 22:00:00
21.37,35.94,1.2,2024-11-04 23:00:00
21.51,36.06,1.05,2024-11-05 00:00:00
21.59,36.06,0.83,2024-11-05 01:00:00
21.24,36.88,0.88,2024-11-05 02:00:00
20.21,39.25,1.13,2024-11-05 03:00:00
19.12,41.81,1.25,2024-11-05 04:00:00
18.4,43.31,1.25,2024-11-05 05:00:00
17.93,43.94,1.25,2024-11-05 06:00:00
18.72,41.25,1.09,2024-11-05 07:00:00
22.0,33.44,2.02,2024-11-05 08:00:00
24.81,28.31,1.49,2024-11-05 09:00:00
28.92,23.81,0.91,2024-11-05 10:00:00
30.7,22.0,1.01,2024-11-05 11:00:00
31.85,20.88,1.13,2024-11-05 12:00:00
32.47,20.31,1.3,2024-11-05 13:00:00
32.33,20.62,1.52,2024-11-05 14:00:00
31.66,21.5,1.7,2024-11-05 15:00:00
29.15,25.62,0.91,2024-11-05 16:00:00
26.53,29.69,1.1,2024-11-05 17:00:00
25.59,31.62,1.1,2024-11-05 18:00:00
25.16,32.62,1.03,2024-11-05 19:00:00
24.68,33.75,0.98,2024-11-05 20:00:00
24.21,34.88,0.91,2024-11-05 21:00:00
23.64,36.0,0.89,2024-11-05 22:00:00
22.8,37.69,0.99,2024-11-05 23:00:00
21.98,39.81,1.06,2024-11-06 00:00:00
21.45,41.38,1.06,2024-11-06 01:00:00
21.02,42.5,1.03,2024-11-06 02:00:00
20.48,43.88,1.04,2024-11-06 03:00:00
19.97,45.19,1.04,2024-11-06 04:00:00
19.48,46.5,1.05,2024-11-06 05:00:00
19.03,47.69,1.04,2024-11-06 06:00:00
19.3,46.81,0.89,2024-11-06 07:00:00
21.62,40.56,1.14,2024-11-06 08:00:00
23.91,35.31,0.55,2024-11-06 09:00:00
28.01,28.31,1.52,2024-11-06 10:00:00
30.09,25.5,1.89,2024-11-06 11:00:00
31.35,24.0,1.87,2024-11-06 12:00:00
32.11,23.06,1.7,2024-11-06 13:00:00
32.02,23.31,1.44,2024-11-06 14:00:00
31.45,24.38,1.3,2024-11-06 15:00:00
29.23,28.44,0.76,2024-11-06 16:00:00
26.27,34.0,1.06,2024-11-06 17:00:00
24.9,37.25,1.12,2024-11-06 18:00:00
24.19,39.25,1.1,2024-11-06 19:00:00
23.65,40.81,1.07,2024-11-06 20:00:00
23.17,42.12,1.04,2024-11-06 21:00:00
22.85,42.56,0.98,2024-11-06 22:00:00
22.76,42.81,0.81,2024-11-06 23:00:00
22.64,43.19,0.53,2024-11-07 00:00:00
22.5,43.62,0.36,2024-11-07 01:00:00
21.87,45.44,0.49,2024-11-07 02:00:00
20.78,48.75,0.8,2024-11-07 03:00:00
19.83,51.94,1.01,2024-11-07 04:00:00
19.05,54.69,1.1,2024-11-07 05:00:00
18.54,56.69,1.14,2024-11-07 06:00:00
18.94,55.56,1.01,2024-11-07 07:00:00
21.78,46.81,1.43,2024-11-07 08:00:00
24.38,40.06,1.03,2024-11-07 09:00:00
28.15,32.0,0.83,2024-11-07 10:00:00
29.98,28.0,0.8,2024-11-07 11:00:00
31.17,25.5,0.71,2024-11-07 12:00:00
31.85,23.88,0.73,2024-11-07 13:00:00
32.01,23.25,0.81,2024-11-07 14:00:00
31.62,23.5,0.96,2024-11-07 15:00:00
29.77,26.81,0.69,2024-11-07 16:00:00
27.45,30.75,0.95,2024-11-07 17:00:00
26.27,33.62,1.02,2024-11-07 18:00:00
25.54,35.69,0.99,2024-11-07 19:00:00
25.02,37.12,0.89,2024-11-07 20:00:00
24.46,38.62,0.7,2024-11-07 21:00:00
24.19,39.38,0.51,2024-11-07 22:00:00
23.65,40.38,0.56,2024-11-07 23:00:00
22.44,43.38,0.76,2024-11-08 00:00:00
21.62,45.44,0.96,2024-11-08 01:00:00
20.86,47.38,1.06,2024-11-08 02:00:00
20.22,49.12,1.14,2024-11-08 03:00:00
19.69,50.62,1.19,2024-11-08 04:00:00
19.44,51.19,1.18,2024-11-08 05:00:00
19.48,51.0,1.13,2024-11-08 06:00:00
20.14,49.0,0.96,2024-11-08 07:00:00
22.65,42.06,1.1,2024-11-08 08:00:00
25.03,36.69,0.86,2024-11-08 09:00:00
28.83,30.81,1.07,2024-11-08 10:00:00
30.79,26.75,1.25,2024-11-08 11:00:00
31.9,23.69,1.11,2024-11-08 12:00:00
32.46,22.0,0.88,2024-11-08 13:00:00
32.05,22.0,0.62,2024-11-08 14:00:00
31.49,22.56,0.6,2024-11-08 15:00:00
29.8,25.62,0.51,2024-11-08 16:00:00
27.77,28.56,0.68,2024-11-08 17:00:00
26.67,30.81,0.73,2024-11-08 18:00:00
26.01,32.31,0.73,2024-11-08 19:00:00
25.61,33.25,0.69,2024-11-08 20:00:00
25.05,34.62,0.53,2024-11-08 21:00:00
24.28,36.12,0.54,2024-11-08 22:00:00
22.92,39.31,0.79,2024-11-08 23:00:00
21.81,42.19,1.0,2024-11-09 00:00:00
20.74,45.19,1.1,2024-11-09 01:00:00
19.84,47.62,1.16,2024-11-09 02:00:00
18.94,50.06,1.2,2024-11-09 03:00:00
18.3,51.81,1.22,2024-11-09 04:00:00
17.87,53.0,1.25,2024-11-09 05:00:00
17.53,54.12,1.23,2024-11-09 06:00:00
18.28,51.62,1.11,2024-11-09 07:00:00
21.44,42.56,1.99,2024-11-09 08:00:00
23.77,37.19,1.49,2024-11-09 09:00:00
27.42,31.19,0.07,2024-11-09 10:00:00
29.48,26.88,0.37,2024-11-09 11:00:00
30.54,24.5,0.32,2024-11-09 12:00:00
31.1,23.19,0.38,2024-11-09 13:00:00
31.21,22.81,0.68,2024-11-09 14:00:00
30.76,23.38,1.07,2024-11-09 15:00:00
28.77,27.0,0.77,2024-11-09 16:00:00
25.91,32.12,1.08,2024-11-09 17:00:00
24.39,36.0,1.18,2024-11-09 18:00:00
23.43,39.0,1.2,2024-11-09 19:00:00
22.77,41.31,1.17,2024-11-09 20:00:00
22.59,42.0,1.08,2024-11-09 21:00:00
22.56,42.5,0.88,2024-11-09 22:00:00
22.15,43.88,0.64,2024-11-09 23:00:00
21.93,44.69,0.52,2024-11-10 00:00:00
21.33,46.56,0.57,2024-11-10 01:00:00
20.33,49.75,0.86,2024-11-10 02:00:00
19.23,53.5,1.13,2024-11-10 03:00:00
18.39,56.38,1.21,2024-11-10 04:00:00
18.01,57.56,1.21,2024-11-10 05:00:00
17.98,57.5,1.18,2024-11-10 06:00:00
18.87,54.5,0.99,2024-11-10 07:00:00
21.66,45.88,1.06,2024-11-10 08:00:00
24.36,39.56,0.11,2024-11-10 09:00:00
27.87,33.0,1.16,2024-11-10 10:00:00
29.18,29.62,1.24,2024-11-10 11:00:00
30.05,27.44,1.21,2024-11-10 12:00:00
30.55,26.12,1.21,2024-11-10 13:00:00
30.67,25.5,1.26,2024-11-10 14:00:00
30.15,26.0,1.3,2024-11-10 15:00:00
28.37,29.12,0.83,2024-11-10 16:00:00
25.43,35.12,1.01,2024-11-10 17:00:00
24.27,38.44,1.06,2024-11-10 18:00:00
23.59,40.88,1.04,2024-11-10 19:00:00
22.97,43.12,1.04,2024-11-10 20:00:00
22.33,45.38,1.03,2024-11-10 21:00:00
21.76,47.94,1.0,2024-11-10 22:00:00
21.27,50.19,0.93,2024-11-10 23:00:00
20.98,51.75,0.75,2024-11-11 00:00:00
20.84,52.62,0.48,2024-11-11 01:00:00
20.46,54.19,0.36,2024-11-11 02:00:00
19.33,58.19,0.79,2024-11-11 03:00:00
18.15,62.56,1.07,2024-11-11 04:00:00
17.24,65.5,1.15,2024-11-11 05:00:00
16.8,66.19,1.17,2024-11-11 06:00:00
17.76,60.81,1.13,2024-11-11 07:00:00
20.96,48.5,2.25,2024-11-11 08:00:00
24.23,41.38,1.9,2024-11-11 09:00:00
26.88,38.06,1.96,2024-11-11 10:00:00
28.23,34.88,1.86,2024-11-11 11:00:00
29.13,32.12,1.72,2024-11-11 12:00:00
29.52,30.44,1.54,2024-11-11 13:00:00
